IT業界,6
OA機器業界,0
アパレル業界,6
インターネット業界,4
インテリア業界,4
ガス業界,0
ガラス業界,0
カフェ業界,6
カラオケ業界,6
カー用品店業界,6
クレジットカード業界,3
ゲーム業界,3
ゴム・タイヤ業界,0
ゴルフ場業界,0
コンビニ業界,6
サービス業界,5
ジュエリー業界,6
スポーツクラブ業界,4
スポーツ用品店業界,6
スポーツ用品業界,0
スーパー業界,0
テレビ業界,7
ドラッグストア業界,4
パチンコ(製造)業界,3
パン業界,6
ビル管理業界,6
ビール業界,7
ブライダル業界,4
プラント業界,0
ホテル業界,3
ホームセンター業界,6
メガネ業界,6
モバイル業界,4
リサイクル業界,4
リース業界,0
レジャー施設業界,1
不動産業界,3
中古車業界,3
中食業界,6
二輪車・バイク業界,1
人材派遣業界,6
介護業界,4
住宅業界,6
住宅設備業界,0
倉庫・運輸業界,0
冠婚葬祭業界,6
出版業界,6
化学業界,5
化粧品業界,6
医療機器業界,0
半導体業界,5
印刷業界,0
卸売業界,2
商品先物業界,3
土木業界,0
土石製品業界,0
家庭用品業界,0
家電業界,2
家電量販店業界,6
寿司業界,6
専門商社業界,5
小売業界,5
居酒屋業界,6
工作機械業界,0
広告業界,6
建設コンサルタント業界,0
建設業界,0
建設機械業界,0
損害保険業界,7
携帯電話業界,1
携帯電話販売業界,4
教育業界,6
文具業界,0
旅行業界,3
映画業界,6
時計業界,0
機械業界,5
水産・農林業界,6
海運業界,0
消費者金融業界,3
清涼飲料業界,1
玩具業界,3
百貨店業界,0
石油業界,7
精密機器業界,0
経営コンサルタント業界,4
総合商社業界,8
繊維業界,0
自動車業界,2
自動車部品業界,5
航空業界,3
菓子業界,0
製粉業界,0
製紙業界,0
製薬業界,1
証券業界,3
警備業界,6
通信業界,1
通販業界,6
造船重機業界,0
運送業界,0
重電業界,1
金属製品業界,0
金融業界,9
鉄道業界,5
鉄鋼業界,0
銀行業界,9
雑貨業界,4
電力業界,7
電気機器業界,2
電気通信工事業界,0
非鉄金属業界,0
靴業界,6
食品業界,5
飲食業界,6
飼料業界,0
駐車場業界,4
高速道路業界,7
